Net,Start_Time_hh,Start_Time_mm,End_Time_hh,End_Time_mm,Year(XXXX),Month(XX),Day(XX),Fishermen,Fishing_field,Depth,Distance_to_Shore,Commants,Fishing_field_text,Storm,Net,Anshubi,Bakala,Barbon,Ben_Gurion,Crab,Denis,Farida,Fish,Gambari,Gerbida,Hazir,Hulim,Intias,Jelly_Fish,Kalamari,Lavan,Makarunim,Malitta,Marmir,Musar,Palamud,Pas_Tzahov,Rofus,Rofus_Fake,Sabida,Saragus,Sardin,Scombri,Soltan,Soltan_Fake,Soltan_Mix,Special,Tarachun,Taref,Televisia,Trulus,Missing,Comments,Very_weak,Lokus,Box_general_from_comments,General_Kg_fromcomments
249,,,,,1990,12,26,Zion,Jaffa,42,,,,FALSE,249,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,FALSE,8 ארגזים,FALSE,,8,
250,,,,,1990,12,26,Zion,,42,,לילה,"י""א",FALSE,250,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,FALSE,4 ארגזים,FALSE,,4,
251,,,,,1990,12,26,Zion,Jaffa,42,,,,FALSE,251,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,FALSE,3 ארגזים,FALSE,,3,
252,,,,,1990,12,26,Zion,,105,,,"י""א",FALSE,252,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,TRUE,,FALSE,,,
253,03,00,10,30,1990,12,27,Sharot,,110,,"1700
14 סימנים
חוליות שוות
A3",ניצנים,FALSE,253,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,FALSE,25 ארגזים,FALSE,,25,
254,11,30,18,00,1990,12,28,Sharot,,110,,"1700
שווה
A",חאן יונס,FALSE,254,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,FALSE,15 ארגזים,FALSE,,15,
255,19,00,04,30,1990,12,28,Sharot,,,,שווה 1700,ניצנים,FALSE,255,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,FALSE,7 ארגזים,FALSE,,7,
256,7,00,10,30,1990,12,29,Sharot,Ashdod(N),,,"B
2.5 מיל
2 חוליות למעלה
1700",,FALSE,256,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,FALSE,10 ארגזים,FALSE,,10,
257,11,00,14,30,1990,12,29,Sharot,,,,"2 מיל
B",בת ים,FALSE,257,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,FALSE,7 ארגזים,FALSE,,7,
258,19,00,01,00,1990,12,29,Sharot,Ashdod(S),112,,"A
1700
חוליות שוות",,FALSE,258,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,FALSE,6 ארגזים,FALSE,,6,
259,01,30,07,30,1990,12,29,Sharot,Katza,112,,"A
14 סימנים
1700
חוליות שוות",,FALSE,259,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,FALSE,6 ארגזים,FALSE,,6,
260,8,15,14,30,1990,12,30,Sharot,,112,,"A
14 סימנים
1710
חוליות שוות",רפיח,FALSE,260,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,FALSE,14 ארגזים,FALSE,,14,
261,15,30,21,00,1990,12,30,Sharot,,108-110,,"1710
A",עזה,FALSE,261,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,FALSE,6 ארגזים,FALSE,,6,
262,22,15,5,30,1990,12,30,Sharot,Ashdod(N),42,,"ועליה ל-50
8 סימנים
1650",,FALSE,262,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,FALSE,5 ארגזים,FALSE,,5,
263,6,30,10,00,1990,12,31,Sharot,,42,,"A
8 סימנים
1650",געש,FALSE,263,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,FALSE,5 ארגזים,FALSE,,5,
264,11,15,13,45,1990,12,31,Sharot,,,,"B
2.5
3 חוליות למעלה
1750",בת ים,FALSE,264,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,FALSE,9 ארגזים,FALSE,,9,
265,14,15,18,15,1990,12,31,Sharot,Ashdod(N),,,"3 מיל מאשדוד צפונה ירידה במדרגות
1700
B",,FALSE,265,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,FALSE,5 ארגזים,FALSE,,5,
266,19,00,00,30,1990,12,31,Sharot,,,,"0.77 מיל
שווה
1650",הילטון,FALSE,266,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,FALSE,5 ארגזים,FALSE,,5,
267,01,30,06,30,1990,12,31,Sharot,,,,"7.75 מיל מהחוף
8 סימנים
1670",נתניה,FALSE,267,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,FALSE,2 ארגזים,FALSE,,2,
268,8,00,11,30,1991,01,01,Sharot,Jaffa,,,"2.55
חוליה בוש למעלה
1700",,FALSE,268,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,FALSE,6 ארגזים,FALSE,,6,
269,12,30,16,00,1991,01,01,Sharot,Ashdod(S),,,"2.2
שווה
1700",,FALSE,269,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,FALSE,6 ארגזים,FALSE,,6,
270,,,,,1991,01,02,Sharot,Ashdod(S),105,,"שווה
1650
A",,FALSE,270,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,FALSE,8 ארגזים,FALSE,,8,
271,,,,,1991,01,02,Sharot,,110,,"שווה
1700
A",דיר בלאח,FALSE,271,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,TRUE,,FALSE,,,
272,,,,,1991,01,03,,,,,,,TRUE,272,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,FALSE,,FALSE,,,
273,,,,,1991,01,04,,,,,,,TRUE,273,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,FALSE,,FALSE,,,
274,7,00,10,00,1991,01,05,Levi,Ashdod(N),18,,,,FALSE,274,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,FALSE,20 ארגזים,FALSE,,20,
275,10,30,13,30,1991,01,05,,Ashdod(N),,,,,FALSE,275,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,FALSE,11 ארגזים,FALSE,,11,
276,14,00,17,00,1991,01,05,Levi,,,,אשדוד צינור וחזרה,,FALSE,276,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,FALSE,6 ארגזים,FALSE,,6,
277,6,45,10,00,1991,01,06,Levi,,18,,אשדוד צינור ובחזרה,,FALSE,277,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,FALSE,5 ארגזים,FALSE,,5,
278,13,00,18,30,1991,01,06,Levi,Ashdod(S),105,,,,FALSE,278,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,FALSE,4 ארגזים,FALSE,,4,
279,20,00,01,00,1991,01,06,Levi,,80,,,עזה,FALSE,279,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,FALSE,4 ארגזים,FALSE,,4,
280,02,00,8,00,1991,01,06,Levi,Ashdod(N),42,,,,FALSE,280,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,FALSE,6 ארגזים,FALSE,,6,
281,8,30,14,00,1991,01,07,Levi,,42,,,געש,FALSE,281,,,,,,,,,,,,,,,,,,,,,,12 B+,,,,,,,1.5 S+1 M+,,,,,,,,FALSE,"18 ארגז
הפס זעיר יפה
1 סולטן מסודר",FALSE,,19,
282,15,00,21,00,1991,01,07,Levi,,42,,,פלמחים,FALSE,282,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,FALSE,"10 ארגזים
1 מסודר
1 בינוני
1 קטן
3 זעיר
לבנים וחולים
(אולי הכוונה לסולטנים)",FALSE,,10,
283,21,45,05,00,1991,01,7,Levi,,42,,,געש,FALSE,283,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,1+0.5 S+0.5 M+,,,,,,,,FALSE,"5 ארגזים
ה-1 סולטן הוא מסודר
0.5 סולים",FALSE,,5,
284,5,30,11,00,1991,01,8,Levi,Ashdod(N),40,,,,FALSE,284,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,FALSE,15 ארגזים,FALSE,,15,
285,12,00,17,00,1991,01,08,Levi,Ashdod(N),41,,,,FALSE,285,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,FALSE,15 ארגזים,FALSE,,15,
286,21,30,04,30,1991,01,08,Levi,Ashdod(S),42,,,,FALSE,286,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,FALSE,4 ארגזים,FALSE,,4,
287,5,30,11,00,1991,01,08,Levi,,42,,,געש,FALSE,287,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,,,FALSE,"15 ארגזים
הסולטן מסודר",FALSE,,15,
288,11,30,16,30,1991,01,09,Levi,,42,,,פלמחים,FALSE,288,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,FALSE,8 ארגזים,FALSE,,8,
289,18,00,01,30,1991,01,09,Levi,,,,,על הבנק תל אביב חדרה,FALSE,289,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,FALSE,22 Kg,FALSE,,,22 Kg
290,03,00,10,00,1991,01,10,Levi,Hadera,42,,,,FALSE,290,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,FALSE,8 ארגזים,FALSE,,8,
291,10,00,16,30,1991,01,10,Levi,,40,,,הרצליה,FALSE,291,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,TRUE,,FALSE,,,
292,,,,,1991,01,10,Zion,Ashdod(N),42,,לילה,,FALSE,292,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,FALSE,"3 ארגזים
חלש",FALSE,,3,
293,,,,,1991,01,11,Zion,,,,"42 דרום
42 צפון",שפיים-פלמחים,FALSE,293,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,FALSE,10 ארגזים,FALSE,,10,
294,,,,,1991,01,11,Zion,,,,42 צפון,פלמחים,FALSE,294,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,TRUE,,FALSE,,,
295,,,,,1991,01,12,Zion,Jaffa,,,2.6,,FALSE,295,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,FALSE,14 ארגזים,FALSE,,14,
296,,,,,1991,01,12,Zion,Jaffa,,,2.6,,FALSE,296,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,FALSE,10 ארגזים,FALSE,,10,
297,,,,,1991,01,12,Zion,,,,לא מצוין המקום,,FALSE,297,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,FALSE,5 ארגזים,FALSE,,5,
298,,,,,1991,01,12,Zion,Ashdod(N),,,לילה,,FALSE,298,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,FALSE,14 Kg,FALSE,,,14 Kg
299,,,,,1991,01,13,Zion,,,,"צינור
2.6",,FALSE,299,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,FALSE,15 ארגזים,FALSE,,15,
300,,,,,1991,01,13,Zion,,,,"צינור
2.6",,FALSE,300,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,FALSE,10 ארגזים,FALSE,,10,
301,,,,,1991,01,13,Zion,Ashdod(N),48,,לילה,,FALSE,301,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,FALSE,5 ארגזים,FALSE,,5,
302,,,,,1991,01,14,Zion,Falick,50,,,,FALSE,302,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,FALSE,5 ארגזים,FALSE,,5,
303,,,,,1991,01,14,Zion,Jaffa,120,,,,FALSE,303,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,TRUE,,FALSE,,,
304,,,,,1991,01,15,Zion,Falick,115,,,,FALSE,304,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,FALSE,8 ארגזים,FALSE,,8,
305,,,,,1991,01,15,Zion,Tel Aviv,42,,,,FALSE,305,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,FALSE,3 ארגזים,FALSE,,3,
306,,,,,1991,01,16,Zion,Ashdod(N),42,,,,FALSE,306,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,FALSE,10 ארגזים,FALSE,,10,
307,,,,,1991,01,16,Zion,Tel Aviv,42,,,,FALSE,307,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,TRUE,,FALSE,,,
308,,,,,1991,01,22,Sharot,Ashdod(N),,,"1.8-2.5
1650 הלוך וחזור
חוליה למעלה 1750
B",,FALSE,308,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,FALSE,20 ארגזים,FALSE,,20,
309,,,,,1991,01,22,Sharot,Ashdod(S),,,לילה,,FALSE,309,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,FALSE,1 ארגז,FALSE,,1,
310,,,,,1991,01,23,Sharot,Ashdod(N),,,"2.5 מיל - 1.8
5 שעות
B",,FALSE,310,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,FALSE,25 ארגזים,FALSE,,15,
311,08,00,12,00,1991,01,24,Sharot,Ashdod(N),,,"2.5-2.8
חוליה למעלה
B",,FALSE,311,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,FALSE,10 ארגזים,FALSE,,10,
312,,,,,1991,01,24,Sharot,Jaffa,,,"2.5
חוליה למעלה
B",,FALSE,312,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,FALSE,8 ארגזים,FALSE,,8,
313,20,30,24,00,1991,01,24,Sharot,Ashdod(S),42,,,,FALSE,313,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,FALSE,"2 ארגזים
ים קשה",FALSE,,2,
314,,,,,1991,01,27,Sharot,Ashdod(N),,,"2.5-2.85
חוליה למעלה
1700
B",,FALSE,314,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,FALSE,8 ארגזים,FALSE,,8,
315,,,,,1991,01,27,Sharot,Tel Aviv,,,"3.7
1700
שווה
4 סימנים
A",,FALSE,315,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,FALSE,10 ארגזים,FALSE,,10,
316,,,,,1991,01,27,Sharot,,50-56,,A,נתניה,FALSE,316,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,FALSE,10 ארגזים,FALSE,,10,
317,,,,,1991,01,28,Sharot,Ashdod(S),,,"2.2
A",,FALSE,317,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,TRUE,,FALSE,,,
318,02,30,08,30,1991,01,28,Levi,Ashdod(N),42,,,,FALSE,318,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,FALSE,"12 ארגזים
דגים יפים",FALSE,,12,
319,09,30,15,00,1991,01,29,Levi,Ashdod(N),42,,,,FALSE,319,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,FALSE,"10 ארגזים
ים קשה. לא מתקדמים",FALSE,,10,
320,11,30,15,00,1991,02,01,Levi,Ashdod(N),,,על הצינור אשדוד צפונה ובחזרה,,FALSE,320,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,FALSE,4 ארגזים,FALSE,,4,
321,19,30,01,00,1991,02,01,Levi,Ashdod(N),42,,,,FALSE,321,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1 B+1 S+1 M+1 L+,,,,,,,,FALSE,"8 ארגזים
דגים יפים
וסולטן 1 מסודר",FALSE,,8,
322,,,,,1991,01,31,,,,,,,TRUE,322,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,FALSE,,FALSE,,,
323,02,00,08,00,1991,02,02,Levi,,42,,,הרצליה,FALSE,323,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,FALSE,"18 ארגזים
דגים יפים",FALSE,,18,
324,09,00,15,00,1991,02,02,Levi,Ashdod(N),41,,,,FALSE,324,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,FALSE,"18 ארגזים
דגים יפים",FALSE,,,
325,16,00,22,00,1991,02,02,Levi,Ashdod(N),41,,,,FALSE,325,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,FALSE,6 ארגזים,FALSE,,6,
326,,,,,1991,02,03,,,,,,,TRUE,326,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,FALSE,,FALSE,,,
327,14,30,17,30,1991,02,04,Levi,,,,על הצינור אשדוד וחזרה,,TRUE,327,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,FALSE,2 ארגזים,FALSE,1,2,
328,,,,,1991,02,04,Zion,Ashdod(N),42,,לילה,,FALSE,328,,,,,,,,,,,,,,,,,4,,,,,,,,,,,,,,,,,,,,FALSE,7 ארגזים,FALSE,,7,
329,03,00,09,00,1991,02,05,Zion,,42,,,תל ברוך,FALSE,329,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,FALSE,9 ארגזים,FALSE,,9,
330,10,00,17,00,1991,02,05,Zion,Ashdod(S),42,,,,FALSE,330,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,FALSE,8 ארגזים,FALSE,,8,
331,,,,,1991,02,5,Zion,,80,,לילה,עזה,FALSE,331,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,FALSE,3 ארגזים,FALSE,,3,
332,,,,,1991,02,6,Zion,,112,,יום,עזה,FALSE,332,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,FALSE,3 ארגזים,FALSE,,3,
333,,,,,1991,02,6,Zion,Ashdod(N),34,,,,FALSE,333,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,TRUE,,FALSE,,,
334,,,,,1991,02,7,Zion,Ashdod(S),34,,,,FALSE,334,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,FALSE,7 ארגזים,FALSE,,7,
335,,,,,1991,02,7,Zion,Ashdod(N),34/3,,,,FALSE,335,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,FALSE,6 ארגזים,FALSE,,6,
336,,,,,1991,02,08,Zion,Ashdod(N),40,,,,FALSE,336,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,FALSE,"10 ארגזים
ים קשה",FALSE,,10,
337,,,,,1991,02,9,Zion,Ashdod(N),40,,יציאה לים 6:00,,FALSE,337,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,FALSE,8 ארגזים,FALSE,,8,
338,,,,,1991,02,09,Zion,Tel Aviv,34,,,,FALSE,338,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,FALSE,8 ארגזים,FALSE,,8,
339,22,00,04,30,1991,02,9,Sharot,Ashdod(N),42,,"8 סימנים
1700
חוליות שוות
A
(דוד זה כנראה שרוט)",,FALSE,339,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,FALSE,"12 ארגזים
הרוב רופוס",FALSE,,12,
340,05,00,11,00,1991,02,10,Sharot,,42 וירידה ל-35,,"7 סימנים
1750
חוליות שוות
A",געש,FALSE,340,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,FALSE,14 ארגזים,FALSE,,14,
341,19,00,03,45,1991,02,10,Sharot,Ashdod(N),34,,"9 סימנים
1680
חוליות שוות
A",,FALSE,341,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,FALSE,10 ארגזים + 1,FALSE,,11,
342,04,30,10,00,1991,02,11,Sharot,,34,,"7 סימנים
1750
חוליות שוות",געש,FALSE,342,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,FALSE,10 ארגזים,FALSE,,10,
343,11,00,16,00,1991,02,11,Sharot,,34,,"6 סימנים
1700
חוליות שוות",בת ים,FALSE,343,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,FALSE,5 ארגזים,FALSE,,5,
344,17,00,23,30,1991,02,11,Sharot,,38-40,,"1700
8 סימנים",געש,FALSE,344,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,FALSE,10 ארגזים,FALSE,,10,
345,00,30,05,30,1991,02,11,Sharot,,40,,"1790
8 סימנים",בור(?) צפונה,FALSE,345,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,FALSE,9 ארגזים,FALSE,,9,
346,6,30,10,30,1991,02,12,Sharot,,38,,"7 סימנים
1700",תל ברוך,FALSE,346,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,FALSE,10 ארגזים,FALSE,,10,
347,11,00,,,1991,02,12,Sharot,,34,,"1750
7 סימנים",רובין דרומה,FALSE,347,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,FALSE,6 ארגזים,FALSE,,6,
348,,,,,1991,02,12,Sharot,,85,,"12 סימנים
חוליה למעלה
1700",פלמחים,FALSE,348,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,FALSE,8 ארגזים,FALSE,,8,
349,6,30,11,30,1991,02,13,Sharot,,82,,"1720
12 סימנים
1 חוליה למטה",נתניה,FALSE,349,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,FALSE,2 ארגזים,FALSE,,2,
350,12,30,17,00,1991,02,13,Sharot,Jaffa,38,,"7 סימנים
1710
שווה",,FALSE,350,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,FALSE,6 ארגזים,FALSE,,6,
351,18,30,23,00,1991,02,13,Sharot,Ashdod(S),82,,"12 סימנים
1700",,FALSE,351,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,FALSE,3 ארגזים,FALSE,,,
352,6,00,9,00,1991,02,14,Sharot,,110,,"14 סימנים
1700
שווה",עזה,FALSE,352,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,FALSE,10 ארגזים,FALSE,,10,
353,7,00,12,00,1991,02,14,Sharot,Ashdod(S),110,,"14 סימנים
1750",,FALSE,353,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,FALSE,8 ארגזים,FALSE,,8,
354,13,00,19,00,1991,02,14,Sharot,,105,,"14 סימנים
1700
שווה",עזה,FALSE,354,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,FALSE,6 ארגזים,FALSE,,6,
355,20,00,01,00,1991,02,14,Sharot,Ashdod(S),115-120,,"14 סימנים
1600
שווה",,FALSE,355,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,FALSE,7 ארגזים,FALSE,,7,
356,02,00,07,00,1991,02,15,Sharot,Katza,110,,"1700 טורים
14 סימנים
1 חוליה למטה
חור בשק
A",,FALSE,356,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,FALSE,6 ארגזים,FALSE,,6,
357,08,00,13,00,1991,02,15,Sharot,Ashdod(S),84,,"12 סימנים
1 חוליה למטה
1600RPM",,FALSE,357,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,FALSE,7 ארגזים,FALSE,,7,
358,14,15,20,30,1991,02,15,Sharot,,42,,"8 סימנים
1 חוליה למטה
1700RPM",חסי,FALSE,358,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,FALSE,7 ארגזים,FALSE,,7,
359,21,30,04,00,1991,02,15,Sharot,Ashdod(S),48-50,,"1650RPM
8 סימנים
חוליה למטה
רשת עלתה קרועה",,FALSE,359,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,FALSE,6 ארגזים,FALSE,,6,
360,06,00,11,00,1991,02,16,Sharot,,23,,"1750 
5 סימנים
שווה",עזה,FALSE,360,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,FALSE,5 ארגזים,FALSE,,5,
361,12,15,,,1991,02,16,Sharot,Ashdod(S),,,"2.2 מיל
4 סימנים
1620",,FALSE,361,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,FALSE,7 ארגזים,FALSE,,7,
362,8,00,13,30,1991,02,17,Levi,Ashdod(N),42,,בלילה של ה-16-17/2 היה ים קשה,,FALSE,362,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,FALSE,חלש מאד,FALSE,,0,
363,14,30,19,30,1991,02,17,Levi,,52,,,הרצליה,FALSE,363,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,FALSE,5 ארגזים,FALSE,,5,
364,20,30,02,00,1991,02,17,Levi,Ashdod(S),42,,,,FALSE,364,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,FALSE,4 ארגזים,FALSE,,4,
365,03,30,9,00,1991,2,18,Levi,,115,,,עזה,FALSE,365,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,FALSE,12 ארגזים,FALSE,,12,
366,10,00,15,30,1991,2,18,Levi,Ashdod(S),115,,,,FALSE,366,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,FALSE,16 ארגזים,FALSE,,16,
367,16,30,24,00,1991,2,18,Levi,,115,,,עזה,FALSE,367,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,FALSE,10 ארגזים,FALSE,,10,
368,01,00,07,00,1991,2,19,Levi,Ashdod(S),115,,,,FALSE,368,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,FALSE,10 ארגזים,FALSE,,10,
369,8,00,13,30,1991,2,19,Levi,Ashdod(S),115,,,,FALSE,369,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,FALSE,10 ארגזים,FALSE,,10,
370,14,30,16,30,1991,2,19,Levi,,42,,,ניצנים,FALSE,370,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,FALSE,2 ארגזים,FALSE,,2,
371,02,30,8,00,1991,2,20,Levi,Ashdod(S),100,,,,FALSE,371,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,FALSE,10 ארגזים,FALSE,,10,
372,9,00,14,00,1991,2,20,Levi,,105,,,עזה,FALSE,372,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,FALSE,12 ארגזים,FALSE,,12,
373,15,45,20,30,1991,2,20,Levi,,115,,,עזה,FALSE,373,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,FALSE,12 ארגזים,FALSE,,12,
374,21,45,06,00,1991,2,20,Levi,,115,,,עזה,FALSE,374,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,FALSE,10 ארגזים,FALSE,,10,
375,8,00,12,30,1991,02,21,Levi,,120,,עוברים את הקניון,ניצנים,FALSE,375,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,FALSE,12 ארגזים,FALSE,,12,
376,13,00,15,30,1991,2,21,Levi,Jaffa,85,,,,FALSE,376,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,FALSE,"3 ארגזים
סימנים לסולטנים",FALSE,,3,
377,21,30,04,00,1991,2,21,Levi,Ashdod(N),85,,,,FALSE,377,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,FALSE,"12 ארגזים
לא רעים!",FALSE,,12,
