Net,Start_Time_hh,Start_Time_mm,End_Time_hh,End_Time_mm,Year(XXXX),Month(XX),Day(XX),Fishermen,Fishing_field,Depth,Distance_to_Shore,Commants,Fishing_field_text,Storm,Speed,High_Sea,Net_Type,Net,Anshubi,Bakala,Barbon,Ben_Gurion,Crab,Denis,Farida,Fish,Gambari,Gerbida,Hazir,Hulim,Intias,Jelly_Fish,Kalamari,Lavan,Makarunim,Malitta,Marmir,Musar,Palamud,Pas_Tzahov,Rofus,Rofus_Fake,Sabida,Saragus,Sardin,Scombri,Soltan,Soltan_Fake,Soltan_Mix,Special,Tarachun,Taref,Televisia,Trulus,Missing,Comments,Lokus,Muslach,Gitara,Box_General,Tziporot,Varod,Vest,Shed Yam,Very_weak,Daba,Octepus,Adom,Hazaim,Lokus_manot,Soltan_Hul,Gerbid_new,barbon_vadim,Cristal,Sardin_round,Shark
221,06,30,11,00,2008,12,29,Vadim,Ashdod N,28,,,,FALSE,,FALSE,,221,,,,,,,,,,2,,2,,,5,,,,,,2,5,,,2,,,,,,,,,,,,FALSE,,,,,,,,,,FALSE,,,,,,,,,,,
222,11,30,16,30,2008,12,29,Vadim,Ashdod N,28,,,,FALSE,,FALSE,,222,,,,,,,,,,,,2,,,4,,,,,,,4,,,1,,,,2.5,,,,,,,3,FALSE,,,,,,,,,,FALSE,,,,,,,,,,,
223,,,,,2008,12,29,Vadim,,,,,,FALSE,,FALSE,,223,,,,,,,,,20 Kg,,,,,,,,,,,,,,,,,,,,,,,,,,,,FALSE,,,,,,,,,,FALSE,,,,,,,,,,,
224,07,30,11,30,2008,12,30,Vadim,Ashdod N,32,,,,FALSE,,FALSE,,224,,,,,,,,,,,,1,,,3,,,,,,2,3,,,1,,,,,,,,,,,,TRUE,,,,,,,,,,FALSE,,,,,,,,,,,
225,12,00,16,30,2008,12,30,Vadim,Ashdod N,,4,,,FALSE,,FALSE,,225,,,,,,,,,,,,1,,,2,1 S+,,,,,1,1,,,,,,,,,,,,,,,TRUE,,,,,,,,,,FALSE,,,,,,,,,,,
226,11,00,14,30,2009,01,2,Vadim,Ashdod S,,3,,,FALSE,,FALSE,,226,,,,,,,,,,1,,,,,1,,,,,,,1,,,,,,,,,,,,,,,FALSE,,,,,,,,,,FALSE,,,,,,,,,,,
227,15,00,18,30,2009,01,02,Vadim,Ashdod N,,3,,,FALSE,,FALSE,,227,,,,,,,,,,,,,,,2,,,,,,1,2,,,,,,,,,,,,,,,FALSE,,,,,,,,,,FALSE,,,,,,,,,,,
228,,,,,2009,01,02,Vadim,Ashdod N,,1.6,,,FALSE,,FALSE,,228,,,,,,,,,35 Kg,,,,,,,,,,,,,,,,,,,,,,,,,,,,FALSE,,,,,,,,,,FALSE,,,,,,,,,,,
229,07,30,12,00,2009,01,03,Vadim,Ashdod N,43,,,,FALSE,,FALSE,,229,,,,,,,,,,3,,,,,3,,,,,,1,,,,,,,67,1,,,,,,,1,FALSE,,,,,,,,,,FALSE,,,,,,,,,,,
230,12,30,17,00,2009,01,03,Vadim,Ashdod N,43,,,,FALSE,,FALSE,,230,,,,,,,,,,1,,,,,4,,,,,,,,,,,,,42,1,,,,,,,,FALSE,,,,,,,,,,FALSE,,,,,,,,,,,
231,,,,,2009,01,03,Vadim,Ashdod N,,1.8,,,FALSE,,FALSE,,231,,,,,,,,,40 Kg,,,,,,,,,,,,,,,,,,,,,,,,,,,,FALSE,,,,,,,,,,FALSE,,,,,,,,,,,
232,08,00,12,00,2009,01,04,Vadim,Ashdod S,50,,,,FALSE,,FALSE,,232,,,,,,,,,,3,,,,,4,,,,,,,,,,,,,18,1,,,,,,,,FALSE,,,,,,,,,,FALSE,,,,,,,,,,,
233,13,00,16,30,2009,01,04,Vadim,Ashdod S,25,,,,FALSE,,FALSE,,233,,,,,,,,,,,,,,,1,,1.5,,,,1,1,,,,,,,,,,,,,,,FALSE,,,,,,,,,,FALSE,,,,,,,,,,,
234,,,,,2009,01,04,Vadim,,,,,,FALSE,,FALSE,,234,,,,,,,,,30 Kg,,,,,,,,,,,,,,,,,,,,,,,,,,,,FALSE,,,,,,,,,,FALSE,,,,,,,,,,,
235,10,00,14,30,2009,01,12,Vadim,Ashdod N,80,,,,FALSE,,FALSE,,235,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,1,,,,,2,,,FALSE,,,,,,,,,,FALSE,,,,,,,,,,,
236,15,00,19,30,2009,01,12,Vadim,,,,,,FALSE,,FALSE,,236,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,1,,,,,2,,,FALSE,,,,,,,,,,FALSE,,,,,,,,,,,
237,21,00,01,30,2009,01,12,Vadim,Ashdod N,42,,,,FALSE,,FALSE,,237,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,1,,,,,,,,TRUE,,,,,,,,,,FALSE,,,,,,,,,,,
238,02,00,06,00,2009,01,12,Vadim,,,,,,FALSE,,FALSE,,238,,,,,,,,,,,,,,,,,,,,,,,,,1,,,5,1,,,,,1,,,FALSE,,,,,,,,,,FALSE,,,,,,,,,,,
239,08,00,12,00,2009,01,13,Vadim,Ashdod S,78,,,,FALSE,,FALSE,,239,,,,,,,,,,,,,,,4,,,,,,,,,,,,,12,4,,,,,2,,,FALSE,,,,,,,,,,FALSE,,,,,,,,,,,
240,13,00,16,30,2009,01,13,Vadim,Ashdod,,,,,FALSE,,FALSE,,240,,,,,,,,,,1,,,,,1,,,,,,,,,,,,,,1,,,,,,,,FALSE,,,,,,,,,,FALSE,,,,,,,,,,,
241,19,00,03,00,2009,01,13,Vadim,Ashdod N,,1.8,,,FALSE,,FALSE,,241,,,,,,,,,10 Kg,,,,,,,,,,,,,,,,,,,,,,,,,,,,FALSE,,,,,,,,,,FALSE,,,,,,,,,,,
242,07,00,11,30,2009,01,14,Vadim,Ashdod S,78,,,,FALSE,,FALSE,,242,,,,,,,,,,,,,,,3,,,,,,,,,,,,,2,1,,,,,,,,FALSE,,,,,,,,,,FALSE,,,,,,,,,,,
243,12,00,16,00,2009,01,14,Vadim,Ashdod S,70,,,,FALSE,,FALSE,,243,,,,,,,,,,1,,,,,1,,,,,,,,,,,,,,1,,,,,,,,FALSE,,,,,,,,,,FALSE,,,,,,,,,,,
244,18,00,05,30,2009,01,14,Vadim,Ashdod N,,1.8,,,FALSE,,FALSE,,244,,,,,,,,,10 Kg,,,,,,,,,,,,,,,,,,,,,,,,,,,,FALSE,,,,,,,,,,FALSE,,,,,,,,,,,
245,08,00,12,30,2009,01,15,Vadim,Ashdod S,78,,,,FALSE,,FALSE,,245,,,,,,,,,,1,,,,,1,,,,,,,,,,1,,,,1,,,,,,,,FALSE,,,,,,,,,,FALSE,,,,,,,,,,,
246,13,30,17,30,2009,01,15,Vadim,Ashdod N,50,,,,FALSE,,FALSE,,246,,,,,,,,,,1,,,,,,,,,,,,,,,1,,,,0.25,,,,,,,,FALSE,,,,,,,,,,FALSE,,,,,,,,,,,
247,20,00,03,00,2009,01,15,Vadim,Ashdod N,,1.8,,,FALSE,,FALSE,,247,,,,,,,,,15 Kg,,,,,,,,,,,,,,,,,,,,,,,,,,,,FALSE,,,,,,,,,,FALSE,,,,,,,,,,,
248,10,00,14,30,2009,01,16,Vadim,Ashdod S,105,,,,FALSE,,FALSE,,248,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,0.5,,,,,6,,,FALSE,,,,,,,,,,FALSE,,,,,,,,,,,
249,15,30,19,30,2009,01,16,Vadim,Ashdod S,80,,,,FALSE,,FALSE,,249,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,0.5,,,,,1,,,FALSE,,,,,,,,,,FALSE,,,,,,,,,,,
250,21,00,01,00,2009,01,16,Vadim,Ashdod S,49,,,,FALSE,,FALSE,,250,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,0.5,,,,,,,,FALSE,,,,,,,,,,FALSE,,,,,,,,,,,
251,01,30,06,00,2009,01,16,Vadim,Ashdod N,42,,,,FALSE,,FALSE,,251,,,,,,,,,,2,,,,,,,,,,,,,,,1,,,,1,,,,,1,,,FALSE,,,,,,,,,,FALSE,,,,,,,,,,,
252,06,30,10,30,2009,01,17,Vadim,Ashdod N,42,,,,FALSE,,FALSE,,252,,,,,,,,,,1,,,,,,,,,,,,,,,1,,,,1,,,,,,,,FALSE,,,,,,,,,,FALSE,,,,,,,,,,,
253,12,00,16,00,2009,01,17,Vadim,Ashdod S,22,,,,FALSE,,FALSE,,253,,,,,,,,,,1,,,,,,,,,,,,1,,,1,,,,,,,,,,,,FALSE,,,,,,,,,,FALSE,,,,,,,,,,,
254,17,00,00,00,2009,01,17,Vadim,Ashdod S,,1.6,,,FALSE,,FALSE,,254,,,,,,,,,10 Kg,,,,,,,,,,,,,,,,,,,,,,,,,,,,FALSE,,,,,,,,,,FALSE,,,,,,,,,,,
255,00,00,06,00,2009,01,17,Vadim,Ashdod S,,1.6,,,FALSE,,FALSE,,255,,,,,,,,,20 Kg,,,,,,,,,,,,,,,,,,,,,,,,,,,,FALSE,,,,,,,,,,FALSE,,,,,,,,,,,
256,07,00,10,30,2009,01,18,Vadim,Ashdod S,22,,,,FALSE,,FALSE,,256,,,,,,,,,,1,,,,,,,,,,,,1,,,1,,,,,,,,,,,,FALSE,,1,,,,,,,,FALSE,,,,,,,,,,,
257,12,00,16,30,2009,01,18,Vadim,Ashdod S,78,,,,FALSE,,FALSE,,257,,,,,,,,,,1,,,,,,,,,,,,,,,1,,,2,1.5,,,,,,,,FALSE,,,,,,,,,,FALSE,,,,,,,,,,,
258,18,00,03,00,2009,01,18,Vadim,Ashdod S,,1.6,,,FALSE,,FALSE,,258,,,,,,,,,25 Kg,,,,,,,,,,,,,,,,,,,,,,,,,,,,FALSE,,,,,,,,,,FALSE,,,,,,,,,,,
259,17,00,23,30,2009,01,19,Levi,Ashdod N,,1.8,,,FALSE,,FALSE,,259,,,,,,,,,22 Kg,,,,,,,,,,,,,,,,,,,,,,,,,,,,FALSE,,,,,,,,,,FALSE,,,,,,,,,,,
260,00,00,06,15,2009,01,19,Levi,Ashdod N,,1.8,,,FALSE,,FALSE,,260,,,,,,,,,23 Kg,,,,,,,,,,,,,,,,,,,,,,,,,,,,FALSE,,,,,,,,,,FALSE,,,,,,,,,,,
261,07,45,10,4,2009,01,20,Levi,Ashdod S,32,,,,FALSE,,FALSE,,261,,,,,,,,,,,,,,,,,,,,,,1 B+,,,,,,,,,,,,,,,FALSE,,,,,1,,,,,FALSE,,,,,,,,,,,
262,11,45,15,45,2009,01,20,Levi,Ashkelon S,28,,,,FALSE,,FALSE,,262,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,0.75,,,,,,,,FALSE,,,,,2,,,,,FALSE,,,,,,,,,,,
263,16,10,17,45,2009,01,20,Levi,Nitanim N,42,,,,FALSE,,FALSE,,263,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,FALSE,,1 Ind,,,1,,,,,FALSE,,,,,,,,,,,
264,19,00,03,30,2009,01,20,Levi,Ashdod N,,1.8,,,FALSE,,FALSE,Gambari,264,,,,,,,,,30 Kg,,,,,,,,,,,,,,,,,,,,,,,,,,,,FALSE,,,,,,,,,,FALSE,,,,,,,,,,,
265,08,00,11,00,2009,01,21,Levi,Ashdod S,,3.1,,,FALSE,,FALSE,,265,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,FALSE,,,,,1,,,,,FALSE,,,,,,,2,,,,
266,11,45,17,00,2009,01,21,Levi,Ashkelon S,26,,,,FALSE,,FALSE,,266,,,,,,,,,,1,,,,,,,,,,,,0.5 B+,,,,,,,0.5,,,,,,,,FALSE,,,,,1,,,,,FALSE,,,,,,,,,,,
267,18,30,00,00,2009,01,21,Levi,Ashdod N,,1.8,,,FALSE,,FALSE,,267,,,,,,,,,20 Kg,,,,,,,,,,,,,,,,,,,,,,,,,,,,FALSE,,,,,,,,,,FALSE,,,,,,,,,,,
268,00,30,06,00,2009,01,21,Levi,Ashdod N,,1.6,,,FALSE,,FALSE,,268,,,,,,,,,12 Kg,,,,,,,,,,,,,,,,,,,,,,,,,,,,FALSE,,,,,,,,,,FALSE,,,,,,,,,,,
269,07,00,10,00,2009,01,22,Levi,Ashdod N,,3,,,FALSE,,FALSE,,269,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,FALSE,,,,,2,,,,,FALSE,,,,,,,,,,,
270,11,00,13,50,2009,01,22,Levi,Ashdod S,,2.2,,,FALSE,,FALSE,,270,,,,,,,,,,1,,,,,,,,1 L+,,,,3 M+,,,,,,,,,,,,,,,FALSE,,,,,2,,,,,FALSE,,,,,,,,,,,
271,14,15,18,30,2009,01,22,Levi,Ashkelon N,,2,,,FALSE,,FALSE,,271,,,,,,,,,10 Kg,1,,,,,1,,,,,,,6,,,2,,,,,,,,,,,,FALSE,,,,,1,,,,,FALSE,,,,,,1,,,,,
272,19,00,01,00,2009,01,22,Levi,Ashdod S,,1.6,,,FALSE,,FALSE,Gambari,272,,,,,,,,,25 Kg,,,,,,,,,,,,,,,,,,,,,,,,,,,,FALSE,,,,,,,,,,FALSE,,,,,,,,,,,
273,01,30,04,00,2009,01,22,Levi,Ashdod S,,2.2,,,FALSE,,FALSE,,273,,,,,,,,,10 Kg,,,,,,,,,,,,,,,,,,,,,,,,,,,,FALSE,,,,,,,,,,FALSE,,,,,,,,,,,
274,07,00,11,00,2009,01,23,Levi,Ashdod S,,2.2,,,FALSE,,FALSE,,274,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,FALSE,,,,,2,,,,,FALSE,,,,,,,,,,,
275,11,30,14,30,2009,01,23,Levi,Ashdod S,,2.2,,,FALSE,,FALSE,,275,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,FALSE,,,,,,,,,,TRUE,,,,,,,,,,,
276,15,30,19,00,2009,01,23,Levi,Ashkelon N,21,,,,FALSE,,FALSE,,276,,,,,,,,,10 Kg,,,,,,,,,,,,,,,,,,,,,,,,,,,,FALSE,,,,,3,,,,,FALSE,,,,,,,,,,,
277,19,30,00,30,2009,01,23,Levi,Ashdod S,,2.2,,,FALSE,,FALSE,Gambari,277,,,,,,,,,20 Kg,,,,,,,,,,,,,,,,,,,,,,,,,,,,FALSE,,,,,,,,,,FALSE,,,,,,,,,,,
278,01,00,06,00,2009,01,23,Levi,Ashdod S,,2.2,,,FALSE,,FALSE,,278,,,,,,,,,18 Kg,,,,,,,,,,,,,,,,,,,,,,,,,,,,FALSE,,,,,,,,,,FALSE,,,,,,,,,,,
279,07,00,10,30,2009,01,24,Levi,Ashdod S,,2.2,,,FALSE,,FALSE,,279,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,FALSE,,,,,,,,,,FALSE,,,,,,,2,,,,
280,17,30,00,30,2009,01,24,Levi,Ashdod N,,1.8,,,FALSE,,FALSE,,280,,,,,,,,,25 Kg,,,,,,,,,,,,,,,,,,,,,,,,,,,,FALSE,,,,,,,,,,FALSE,,,,,,,,,,,
281,01,00,06,15,2009,01,24,Levi,Ashdod N,,1.8,,,FALSE,,FALSE,,281,,,,,,,,,35 Kg,,,,,,,,,,,,,,,,,,,,,,,,,,,,FALSE,,,,,,,,,,FALSE,,,,,,,,,,,
282,07,00,10,00,2009,01,25,Levi,Ashdod S,28,,,,FALSE,,FALSE,,282,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,0.5,,,,,,,,FALSE,,,,,2,,,,,FALSE,,,,,,,,,,,
283,10,45,14,00,2009,01,25,Levi,Ashkelon S,32,,,,FALSE,,FALSE,,283,,,,,,,,,,,,,,,,,,,,,1 L+,1,1,,,,,,,,,,,,,1 B+,FALSE,,,,,1,,,,,FALSE,,,,,,,1,,,,
284,14,30,18,30,2009,01,25,Levi,Ashdod S,19,,,,FALSE,,FALSE,,284,,,,,,,,,8 Kg,,,,,,,,,,,,1,4.5 M+,,,,,,,,,,,,,,,FALSE,,,,,2,,,,,FALSE,,,,,,,,,,,
285,21,30,04,00,2009,01,25,Levi,Ashdod N,,1.8,,,FALSE,,FALSE,,285,,,,,,,,,25 Kg,,,,,,,,,,,,,,,,,,,,,,,,,,,,FALSE,,,,,,,,,,FALSE,,,,,,,,,,,
286,13,30,17,30,2009,01,26,Vadim,Ashdod S,,2.2,,,FALSE,,FALSE,,286,,,,,,,,,,,,,,,0.5,,,,,,,0.25,,,,,,,,,,,,,,,FALSE,,,,,,,,,,FALSE,,,,,,,,,,,
287,18,30,05,30,2009,01,26,Vadim,Ashdod N,,1.8,,,FALSE,,FALSE,,287,,,,,,,,,15 Kg,,,,,,,,,,,,,,,,,,,,,,,,,,,,FALSE,,,,,,,,,,FALSE,,,,,,,,,,,
288,07,30,12,00,2009,01,27,Vadim,Ashdod S,78,,,,FALSE,,FALSE,,288,,,,,,,,,,2,,,,,,,,,,,,,,,,,,,1,,,,,2,,,FALSE,,,,,,,,,,FALSE,,,,,,,,,,,
289,13,00,17,30,2009,01,27,Vadim,Ashdod S,76,,,,FALSE,,FALSE,,289,,,,,,,,,,2,,,,,1,,,,,,,,,,,,,,2,,,,,2,,,FALSE,,,,,,,,,,FALSE,,,,,,,,,,,
290,19,00,03,00,2009,01,27,Vadim,Ashdod S,,2.2,,,FALSE,,FALSE,,290,,,,,,,,,15 Kg,,,,,,,,,,,,,,,,,,,,,,,,,,,,FALSE,,,,,,,,,,FALSE,,,,,,,,,,,
291,08,00,12,30,2009,01,28,Vadim,Ashdod S,76,,,,FALSE,,FALSE,,291,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,1,,,,,2,,,FALSE,,,,,,,,,,FALSE,,,,,,,,,,,
292,13,30,18,00,2009,01,28,Vadim,Ashdod S,50,,,,FALSE,,FALSE,,292,,,,,,,,,,1,,,,,1,,,,,,,,4,,,,,,1,,,,,1,,,FALSE,,,,,,,,,,FALSE,,,,,,,,,,,
293,19,00,00,00,2009,01,28,Vadim,Ashdod S,22,,,,FALSE,,FALSE,,293,,,,,,,,,,,,2,,,1,,,,,,,,,,,,,,,,,,,1,,,TRUE,,,,,,,,,,FALSE,,,,,,,,,,,
294,00,30,06,00,2009,01,28,Vadim,Ashdod S,22,,,,FALSE,,FALSE,,294,,,,,,,,,,4,,2,,,1,,,,,,,,,,,,,,,,,,,,,,FALSE,,,,,,,,,,FALSE,,,,,,,,,,,
295,07,00,11,30,2009,01,29,Vadim,Ashdod S,,2.2,,,FALSE,,FALSE,,295,,,,,,,,,,,,0.5,,,,,,,,,0.5,0.5,,,,,,,,,,,,,,,FALSE,,,,,,,,,,FALSE,,,,,,0.3,,,,,
296,,,,,2009,01,30,,,,,,,TRUE,,FALSE,,296,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,FALSE,,,,,,,,,,FALSE,,,,,,,,,,,
297,,,,,2009,01,31,,,,,,,TRUE,,FALSE,,297,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,FALSE,,,,,,,,,,FALSE,,,,,,,,,,,
298,,,,,2009,02,,,,,,,,TRUE,,FALSE,,298,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,FALSE,,,,,,,,,,FALSE,,,,,,,,,,,
299,07,30,12,00,2009,02,02,Vadim,Ashdod S,42,,,,FALSE,,FALSE,,299,,,,,,,,,,2,,,,,3,,,,,,,5,7,,,,,,2,,,,,2,,,FALSE,,,,,,,,,,FALSE,,,,,,,,,,,
300,12,30,17,00,2009,02,02,Vadim,Ashdod S,42,,,,FALSE,,FALSE,,300,,,,,,,,,,,,,,,1,,,,,,,1,5,,,,,,1,,,,,,,,FALSE,,,,,,,,,,FALSE,,,,,,,,,,,
301,17,30,05,30,2009,02,02,Vadim,Ashdod S,,,,,FALSE,,FALSE,,301,,,,,,,,,,3,,,,,3,,,,,,,,5,,,,,,1,,,,,,,,FALSE,,,,,,,,,,FALSE,,,,,,,,,,,
302,07,00,11,30,2009,02,03,Vadim,Ashdod S,42,,,,FALSE,,FALSE,,302,,,,,,,,,,,,,,,1,,,,,,,0.5,4,,,,,,1,,,,,,,,FALSE,,,,,,,,,,FALSE,,,,,,,,,,,
303,12,30,17,00,2009,02,03,Vadim,Ashdod N,80,,,,FALSE,,FALSE,,303,,,,,,,,,,,,,,,3,,,,,,,,5,,,,,,1,,,,,2,,,FALSE,,,,,,,,,,FALSE,,,,,,,,,,,
304,19,00,03,00,2009,02,03,Vadim,Jaffa S,,1.6,,,FALSE,,FALSE,,304,,,,,,,,,40 Kg,,,,,,,,,,,,,,,,,,,,,,,,,,,,FALSE,,,,,,,,,,FALSE,,,,,,,,,,,
305,,,,,2009,02,10,,,,,,,TRUE,,FALSE,,305,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,FALSE,,,,,,,,,,FALSE,,,,,,,,,,,
306,,,,,2009,02,11,,,,,,,TRUE,,FALSE,,306,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,FALSE,,,,,,,,,,FALSE,,,,,,,,,,,
307,09,30,12,00,2009,02,12,Vadim,Ashdod N,,3,,,FALSE,,FALSE,,307,,,,,,,,,,1,,,,,,,1,,,,0.5,0.5,2,,,,,,,,,,,,,,FALSE,,,,,,,,,,FALSE,,,,,,,,,,,
308,13,00,16,30,2009,02,12,Vadim,Ashdod N,32,,,,FALSE,,FALSE,,308,,,,,,,,,,1,,1,,,,,,,,,,0.5,8,,,,,1,,,,,,,,,FALSE,,,,,,,,,,FALSE,,,,,,,,,,,
309,17,00,00,00,2009,02,12,Vadim,Ashdod N,42,,,,FALSE,,FALSE,,309,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,0.5,,,,,2,,2,FALSE,,,,,,,,,,FALSE,,,,,,,,,,,
310,00,30,06,00,2009,02,12,Vadim,Ashdod N,42,,,,FALSE,,FALSE,,310,,,,,,,,,,,,,,,3,,,,,,,,5,,,,,,1,,,,,3,,,FALSE,,,,,,,,,,FALSE,,,,,,,,,,,
311,07,30,11,00,2009,02,13,Vadim,Ashdod S,78,,,,FALSE,,FALSE,,311,,,,,,,,,,,,,,,2,,,,,,,0.3,3,,,,,,1,,,,,,,,FALSE,,,,,,,,,,FALSE,,,,,,,,,,,
312,11,30,16,00,2009,02,13,Vadim,Ashdod S,34,,,,FALSE,,FALSE,,312,,,,,,,,,,,,,,,1,,,,,,,,5,,2,,,1,,,,,,,,,FALSE,,,,,,,,,,FALSE,,,,,,,,,,,
313,18,00,05,30,2009,02,13,Vadim,Ashdod N,1.6,,,,FALSE,,FALSE,,313,,,,,,,4 Ind,,45 Kg,,,1,,,,,,,,,,,,,,,,,,,,,,,,,FALSE,,,,,,,,,,FALSE,,,,,,0.3,,,,,
314,06,30,10,00,2009,02,14,Vadim,Ashdod N,,2.6,,,FALSE,,FALSE,,314,,,,,,,,,,,,,,,1,,,,,,0.5,,4,,2,,,,,,,,,1,,,FALSE,,,,,,,,,,FALSE,,,,,,,,,,,
315,10,30,12,00,2009,02,14,Vadim,Ashdod S,,2.2,,,FALSE,,FALSE,,315,,,,,,,,,,1,,,,,2,,,,,,,2,,,,,,,,,,,,1,,,FALSE,,,,,,,,,,FALSE,,,,,,,,,,,
316,12,30,16,00,2009,02,14,Vadim,Ashdod S,,2.2,,,FALSE,,FALSE,,316,,,,,,,,,,,,,,,1,,,,,,,0.5,,,,,,,,,,,,1,,,FALSE,,,,,,,,,,FALSE,,,,,,,,,,,
317,18,00,05,30,2009,02,14,Vadim,Ashdod N,,1.6,,,FALSE,,FALSE,,317,,,,,,,,,40 Kg,,,,,,,,,,,,,,,,,,,,,,,,,,,,FALSE,,,,,,,,,,FALSE,,,,,,,,,,,
318,08,00,11,30,2009,02,15,Vadim,Ashdod S,78,,,,FALSE,,FALSE,,318,,,,,,,,,,1,,,,,1,,,,,,,,,,,,,,0.25,,,,,1,,,FALSE,,,,,,,,,,FALSE,,,,,,,,,,,
319,,,,,2009,02,16,,,,,,,TRUE,,FALSE,,319,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,FALSE,,,,,,,,,,FALSE,,,,,,,,,,,
320,20,30,06,00,2009,02,17,Vadim,,,,,,FALSE,,FALSE,,320,,,,,,,,,20 Kg,,,,,,,,,,,,,,,,,,,,,,,,,,,,FALSE,,,,,,,,,,FALSE,,,,,,,,,,,
321,07,30,11,00,2009,02,18,Vadim,Ashdod S,,,,,FALSE,42,FALSE,,321,,,,,,,,,,,,,,,1,,,,,,,,2,,,,,1,,,,,,1,,,FALSE,,,,,,,,,,FALSE,,,,,,,,,,,
322,11,30,16,30,2009,02,18,Vadim,Ashdod S,78,,,,FALSE,,FALSE,,322,,,,,,,,,,,,,,,1,,,,,,,,2,,,,,,0.25,,,,,2,,,FALSE,,,,,,,,,,FALSE,,,,,,,,,,,
323,18,00,05,30,2009,02,18,Vadim,,,,,,FALSE,,FALSE,,323,,,,,,,,,40 Kg,,,,,,,,,,,,,,,,,,,,,,,,,,,,FALSE,,,,,,,,,,FALSE,,,,,,,,,,,
324,07,30,11,00,2009,02,19,Vadim,Ashdod,,3,,,FALSE,,FALSE,,324,,,,,,,,,,1,,,,,,,,,,,,0.25,2,,,,,,,,,,,1,,,FALSE,,,,,,,,,,FALSE,,,,,,,,,,,
325,12,00,14,30,2009,02,19,Vadim,Ashdod S,22,,,,FALSE,,FALSE,,325,,,,,,,,,,0.5,,,,,0.5,,,,,,,,1,,,,,,,,,,,,,,FALSE,,,,,,,,,,FALSE,,,,,,,,,,,
326,15,00,18,00,2009,02,19,Vadim,,,,,,FALSE,,FALSE,,326,,,,,,,,,,1,,,,,1,,1,,,,,,,,,,,,0.25,,,,,,,,FALSE,,,,,,,,,,FALSE,,,,,,,,,,,
327,20,00,03,00,2009,02,19,Vadim,,,,,,FALSE,,FALSE,,327,,,,,,,,,20 Kg,,,,,,,,,,,,,,,,,,,,,,,,,,,,FALSE,,,,,,,,,,FALSE,,,,,,,,,,,
328,,,,,2009,02,20,,,,,,,TRUE,,FALSE,,328,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,FALSE,,,,,,,,,,FALSE,,,,,,,,,,,
329,,,,,2009,02,21,,,,,,,TRUE,,FALSE,,329,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,FALSE,,,,,,,,,,FALSE,,,,,,,,,,,
330,,,,,2009,02,22,,,,,,,TRUE,,FALSE,,330,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,FALSE,,,,,,,,,,FALSE,,,,,,,,,,,
331,11,00,14,15,2009,02,23,Levi,Ashdod S,,2.2,,,FALSE,,FALSE,,331,,,,,,,,,,1,,1,,,2,,,,,,,1,,2,,,,,,,,,,,,,FALSE,,1 Ind,,,,,,,,FALSE,,,,,,,,,,,
332,15,00,17,30,2009,02,23,Levi,Ashkelon N,,3,,,FALSE,,FALSE,,332,,,,,,,,,,,,1,,,2,,,,,,,1,2,,,,,,,0.25,,,,,,,FALSE,,,,,,,,,,FALSE,,,,,,,,,,,
333,18,30,01,00,2009,02,23,Levi,Ashdod N,,1.8,,,FALSE,,FALSE,,333,,,,,,,,,15 Kg,,,,,,,,,,,,,,,,,,,,,,,,,,,,FALSE,,,,,,,,,,FALSE,,,,,,,,,,,
334,02,00,06,00,2009,02,23,Levi,Ashdod S,,1.4,,,FALSE,,FALSE,,334,,,,,,,,,12,,,,,,,,,,,,,,,,,,,,,,,,,,,,FALSE,,,,,,,,,,FALSE,,,,,,,,,,,
335,07,00,10,15,2009,02,24,Levi,Ashdod S,,1.4,,,FALSE,,FALSE,,335,,,,,,,,,,1,,1,,,2,,,,,,,,,2,,,,,,,,,,,,,FALSE,,,,,1,,,,,FALSE,,,,,,,,,,,
